location,subject,time,value_new
NOR,EMPLOYEE,2000,9
CAN,EMPLOYEE,2000,23
USA,EMPLOYEE,2000,23
GBR,EMPLOYEE,2000,26
HUN,EMPLOYEE,2000,14
JPN,EMPLOYEE,2000,33
FIN,EMPLOYEE,2000,20
DEU,EMPLOYEE,2000,19
CHE,EMPLOYEE,2000,23
KOR,EMPLOYEE,2000,41
OECD,EMPLOYEE,2000,18
AUT,EMPLOYEE,2000,23
SWE,EMPLOYEE,2000,12
NZL,EMPLOYEE,2000,7
NZL,SELFEMPLOYED,2000,35
AUS,EMPLOYEE,2000,17
CHL,EMPLOYEE,2000,6
BEL,EMPLOYEE,2000,13
NZL,EMPLOYEE,2001,8
NZL,SELFEMPLOYED,2001,30
SWE,EMPLOYEE,2001,12
GBR,EMPLOYEE,2001,25
DEU,EMPLOYEE,2001,19
USA,EMPLOYEE,2001,23
POL,EMPLOYEE,2001,14
JPN,EMPLOYEE,2001,33
KOR,EMPLOYEE,2001,40
FIN,EMPLOYEE,2001,21
CZE,EMPLOYEE,2001,16
CAN,EMPLOYEE,2001,24
AUS,EMPLOYEE,2001,14
NOR,EMPLOYEE,2001,9
OECD,EMPLOYEE,2001,17
AUT,EMPLOYEE,2001,22
ISR,EMPLOYEE,2001,27
HUN,EMPLOYEE,2001,13
BEL,EMPLOYEE,2001,13
NOR,EMPLOYEE,2002,9
FRA,EMPLOYEE,2002,13
FIN,EMPLOYEE,2002,20
LUX,EMPLOYEE,2002,15
CHE,EMPLOYEE,2002,22
LTU,EMPLOYEE,2002,15
USA,EMPLOYEE,2002,22
CYP,EMPLOYEE,2002,31
POL,EMPLOYEE,2002,11
DEU,EMPLOYEE,2002,18
SVK,EMPLOYEE,2002,20
IRL,EMPLOYEE,2002,17
AUT,EMPLOYEE,2002,24
ISR,EMPLOYEE,2002,24
HUN,EMPLOYEE,2002,9
PRT,EMPLOYEE,2002,21
OECD,EMPLOYEE,2002,17
ITA,EMPLOYEE,2002,15
EST,EMPLOYEE,2002,25
ESP,EMPLOYEE,2002,17
CAN,EMPLOYEE,2002,24
GRC,EMPLOYEE,2002,23
LVA,EMPLOYEE,2002,18
JPN,EMPLOYEE,2002,32
SWE,EMPLOYEE,2002,11
KOR,EMPLOYEE,2002,41
CZE,EMPLOYEE,2002,15
ISL,EMPLOYEE,2002,28
DNK,EMPLOYEE,2002,10
GBR,EMPLOYEE,2002,24
BEL,EMPLOYEE,2002,11
EU27,EMPLOYEE,2002,16
NZL,EMPLOYEE,2002,7
NZL,SELFEMPLOYED,2002,27
SVN,EMPLOYEE,2002,9
ROU,EMPLOYEE,2002,16
NLD,EMPLOYEE,2002,15
AUS,EMPLOYEE,2002,15
BGR,EMPLOYEE,2002,12
MLT,EMPLOYEE,2002,13
NOR,SELFEMPLOYED,2003,32
CZE,EMPLOYEE,2003,15
CAN,EMPLOYEE,2003,22
NZL,EMPLOYEE,2003,7
OECD,EMPLOYEE,2003,16
EST,SELFEMPLOYED,2003,18
LUX,SELFEMPLOYED,2003,4
JPN,EMPLOYEE,2003,31
SWE,SELFEMPLOYED,2003,5
FRA,SELFEMPLOYED,2003,37
KOR,EMPLOYEE,2003,40
BEL,SELFEMPLOYED,2003,42
AUT,SELFEMPLOYED,2003,5
FIN,SELFEMPLOYED,2003,32
NZL,SELFEMPLOYED,2003,29
DEU,EMPLOYEE,2003,19
SWE,EMPLOYEE,2003,11
DNK,EMPLOYEE,2003,9
USA,EMPLOYEE,2003,20
CHL,EMPLOYEE,2003,16
AUT,EMPLOYEE,2003,21
ISR,EMPLOYEE,2003,25
AUS,EMPLOYEE,2003,13
NOR,EMPLOYEE,2003,9
ISL,SELFEMPLOYED,2003,4
DNK,SELFEMPLOYED,2003,9
SVK,EMPLOYEE,2003,20
FIN,EMPLOYEE,2003,20
HUN,EMPLOYEE,2003,14
EU27,EMPLOYEE,2003,15
IRL,SELFEMPLOYED,2003,25
BEL,EMPLOYEE,2003,15
GBR,EMPLOYEE,2003,24
IRL,SELFEMPLOYED,2004,28
NZL,SELFEMPLOYED,2004,33
AUT,SELFEMPLOYED,2004,4
LTU,SELFEMPLOYED,2004,29
SVK,EMPLOYEE,2004,20
CZE,EMPLOYEE,2004,16
ISL,SELFEMPLOYED,2004,40
BEL,EMPLOYEE,2004,11
JPN,EMPLOYEE,2004,31
EU27,EMPLOYEE,2004,15
OECD,EMPLOYEE,2004,16
NZL,EMPLOYEE,2004,8
SWE,SELFEMPLOYED,2004,13
AUT,EMPLOYEE,2004,22
HUN,SELFEMPLOYED,2004,29
DNK,EMPLOYEE,2004,10
DNK,SELFEMPLOYED,2004,6
SVK,SELFEMPLOYED,2004,21
HUN,EMPLOYEE,2004,30
CAN,EMPLOYEE,2004,22
AUS,EMPLOYEE,2004,14
SWE,EMPLOYEE,2004,10
ISR,EMPLOYEE,2004,25
BEL,SELFEMPLOYED,2004,4
POL,EMPLOYEE,2004,10
USA,EMPLOYEE,2004,19
GBR,EMPLOYEE,2004,23
FRA,SELFEMPLOYED,2004,33
EST,SELFEMPLOYED,2004,14
NLD,SELFEMPLOYED,2004,37
FIN,EMPLOYEE,2004,20
KOR,EMPLOYEE,2004,39
NOR,SELFEMPLOYED,2004,32
CZE,SELFEMPLOYED,2004,32
NOR,EMPLOYEE,2004,8
FIN,SELFEMPLOYED,2004,35
DEU,EMPLOYEE,2004,21
CHE,EMPLOYEE,2004,22
POL,SELFEMPLOYED,2004,5
SVN,SELFEMPLOYED,2004,28
LUX,SELFEMPLOYED,2004,4
GBR,SELFEMPLOYED,2004,4
CAN,EMPLOYEE,2005,21
BEL,SELFEMPLOYED,2005,4
NLD,SELFEMPLOYED,2005,38
LUX,SELFEMPLOYED,2005,37
FIN,EMPLOYEE,2005,18
GBR,SELFEMPLOYED,2005,4
POL,SELFEMPLOYED,2005,5
BEL,EMPLOYEE,2005,11
USA,EMPLOYEE,2005,18
ESP,SELFEMPLOYED,2005,38
AUT,EMPLOYEE,2005,22
AUS,EMPLOYEE,2005,15
NOR,SELFEMPLOYED,2005,30
HUN,EMPLOYEE,2005,40
SVK,SELFEMPLOYED,2005,19
MEX,EMPLOYEE,2005,16
FRA,SELFEMPLOYED,2005,31
EST,SELFEMPLOYED,2005,9
HUN,SELFEMPLOYED,2005,26
DNK,EMPLOYEE,2005,10
SWE,EMPLOYEE,2005,11
DEU,EMPLOYEE,2005,16
SVN,SELFEMPLOYED,2005,29
AUT,SELFEMPLOYED,2005,4
LTU,SELFEMPLOYED,2005,27
CZE,SELFEMPLOYED,2005,30
FIN,SELFEMPLOYED,2005,41
CZE,EMPLOYEE,2005,15
EU27,EMPLOYEE,2005,14
USA,SELFEMPLOYED,2005,6
KOR,EMPLOYEE,2005,39
